A=3963 B=8842 C=8687 X=409495541 Y=7293148889 Z=69968178871 M=172
A=7942 B=7029 C=6244 X=839539903 Y=4169342114 Z=95037937077 M=160
A=7979 B=8971 C=6912 X=442664734 Y=6237597808 Z=86442494244 M=68
A=7688 B=9813 C=8682 X=332021203 Y=9856217610 Z=80328955369 M=62
A=5835 B=5848 C=9080 X=142585645 Y=1900208603 Z=95352568867 M=102
A=5334 B=9954 C=9648 X=905887097 Y=9241714569 Z=54782995871 M=64
A=7455 B=3708 C=8255 X=504254875 Y=4435182630 Z=47061156208 M=196
A=7792 B=9864 C=5393 X=480894345 Y=7574321009 Z=28916297468 M=162
A=8393 B=3232 C=8104 X=330175845 Y=5289733360 Z=31518107012 M=79
A=3882 B=3375 C=6068 X=518104895 Y=1025354059 Z=23851183794 M=109
A=7157 B=6688 C=8802 X=343914437 Y=8548573578 Z=39640082726 M=108
A=9267 B=9026 C=5652 X=552894284 Y=5449382534 Z=15095836120 M=131
A=7709 B=7053 C=6015 X=692558506 Y=3648795546 Z=80249693831 M=94
A=4090 B=7395 C=9247 X=462765550 Y=4135859740 Z=20266326837 M=98
A=5319 B=9603 C=8458 X=837675237 Y=7562163981 Z=81526783792 M=98
A=5056 B=3354 C=8506 X=215467750 Y=8934346014 Z=80156785083 M=64
A=8946 B=9714 C=8466 X=186796372 Y=6752172401 Z=97885508408 M=85
A=6634 B=3765 C=5216 X=684211300 Y=7194085573 Z=84235702575 M=93
A=7700 B=9075 C=8639 X=769343115 Y=4951946895 Z=12460628812 M=192
A=2270 B=6794 C=9887 X=753574022 Y=1010353710 Z=22079276874 M=199
A=4608 B=6704 C=6374 X=489461820 Y=2617126841 Z=99189476796 M=56
A=7991 B=6698 C=5009 X=865348038 Y=6628450920 Z=82542609090 M=138
A=9146 B=3602 C=5757 X=948362149 Y=6536500415 Z=42356087927 M=63
A=6135 B=6979 C=7331 X=296914642 Y=5562957551 Z=15296896818 M=154
A=6740 B=4037 C=9925 X=664678186 Y=2062390238 Z=26147984893 M=127
A=4286 B=3122 C=7026 X=326371845 Y=1116546423 Z=13319294289 M=72
A=2440 B=4715 C=8385 X=255209406 Y=9382774924 Z=54150329024 M=196
A=3576 B=9613 C=9732 X=944415768 Y=5592859961 Z=38006825858 M=75
A=3943 B=4271 C=8115 X=435401018 Y=3803008103 Z=87256283762 M=71
A=5046 B=5121 C=7477 X=882139913 Y=1929832251 Z=25182537189 M=51
A=3106 B=5337 C=7157 X=456093739 Y=5663851313 Z=64060187791 M=66
A=6809 B=5664 C=8361 X=881954026 Y=6714747784 Z=67415739912 M=193
A=2947 B=4118 C=7935 X=459311447 Y=1504393004 Z=93240766891 M=120
A=6368 B=5612 C=8266 X=231311396 Y=2500175052 Z=54868769612 M=155
A=7059 B=8353 C=9272 X=386198328 Y=6033513339 Z=34890243693 M=95
A=6639 B=7182 C=9599 X=203138028 Y=8848877703 Z=41738077352 M=50
A=4327 B=9940 C=7620 X=144124863 Y=2255030420 Z=72197832296 M=187
A=8129 B=3767 C=7930 X=874606203 Y=2598169766 Z=43845885455 M=76
A=7857 B=6832 C=6907 X=739251256 Y=6913635659 Z=68561001761 M=105
A=3786 B=5820 C=9138 X=497623985 Y=1048832748 Z=22080414607 M=58
A=2235 B=4081 C=7532 X=481034867 Y=6763036282 Z=90858998586 M=146
A=6570 B=4019 C=9385 X=687612339 Y=5923858682 Z=37417952027 M=173
A=8715 B=6433 C=6347 X=302773772 Y=5836323573 Z=85318938543 M=149
A=5272 B=5147 C=6267 X=952029958 Y=5064309718 Z=46637498104 M=158
A=8251 B=3017 C=9953 X=520837819 Y=4171582367 Z=32996622261 M=186
A=5058 B=5497 C=8865 X=209462541 Y=3152901709 Z=28469776806 M=127
A=7458 B=4164 C=5570 X=504629974 Y=2847240248 Z=58865406911 M=69
A=3860 B=3876 C=7655 X=406121777 Y=8124355470 Z=87786303696 M=63
A=3203 B=8316 C=6886 X=455814102 Y=4577442858 Z=78541358333 M=159
A=3125 B=6022 C=7456 X=381823686 Y=5752089240 Z=93786233800 M=65
A=3159 B=5387 C=8685 X=867405378 Y=4700629430 Z=13338543360 M=110
A=9443 B=8949 C=9618 X=708422252 Y=5713427199 Z=93352128799 M=138
A=8269 B=8771 C=9138 X=115479767 Y=6857455766 Z=88859949122 M=148
A=5030 B=7425 C=8196 X=382353180 Y=5987748430 Z=25607872228 M=57
A=3129 B=9466 C=6663 X=436840184 Y=4007277476 Z=67936955089 M=121
A=8863 B=4951 C=6103 X=474069087 Y=2653137145 Z=50414775315 M=142
A=7710 B=5762 C=7992 X=599214654 Y=7004049394 Z=34839364869 M=60
A=3632 B=7511 C=9400 X=363797903 Y=6114932282 Z=92960791069 M=102
A=5952 B=4083 C=5910 X=774389174 Y=5176494427 Z=12141381856 M=56
A=3348 B=7169 C=7752 X=235855845 Y=7501135473 Z=66780467588 M=53
