ADD id=1 left=[236,H] right=[207,P]
ADD id=2 left=[209,Y] right=[274,L]
ADD id=3 left=[233,R] right=[131,B]
ADD id=4 left=[167,Z] right=[116,R]
ADD id=5 left=[155,S] right=[239,T]
ADD id=6 left=[181,N] right=[145,H]
ADD id=7 left=[161,L] right=[227,R]
ADD id=8 left=[165,C] right=[291,M]
ADD id=9 left=[130,G] right=[193,Z]
ADD id=10 left=[192,N] right=[125,S]
ADD id=11 left=[174,F] right=[106,X]
ADD id=12 left=[285,H] right=[270,Y]
ADD id=13 left=[134,U] right=[185,S]
ADD id=14 left=[180,K] right=[288,B]
ADD id=15 left=[166,J] right=[208,T]
ADD id=16 left=[159,A] right=[278,M]
ADD id=17 left=[200,Z] right=[151,T]
ADD id=18 left=[187,!] right=[135,J]
ADD id=19 left=[177,B] right=[201,T]
ADD id=20 left=[119,Q] right=[164,Z]
